region,school_name,closure_year,local_office,school_level,utilization_status,address,years_since_closure,closure_risk_index,risk_level
jeju,신도초보흥분교장,1983,해당없음,초,미활용,서귀포시 대정읍 신도리 2595-2,42,1.0,매우 높음
gyeongnam,외암초등학교별천분교장,1989,함안,초,미활용,함안군 여항면 주동리 352,36,0.921311475409836,매우 높음
gangwon,봉양초 덕산분교장,1990,정선,초,미활용,정선군 정선읍  덕우리 27 ,35,0.9081967213114753,매우 높음
gyeonggi,대동초 선감분교장,1990,안산,초,미활용,안산시 단원구 선감동 667-2,35,0.9081967213114753,매우 높음
gyeonggi,냉정초,1990,포천,초,미활용,포천시 관인면 냉정리 339,35,0.9081967213114753,매우 높음
chunbook,성암초 연곡분교장,1991,진천,초,미활용,진천군 진천읍 연곡리 191-1,34,0.8950819672131151,매우 높음
gyeongbook,부남초등학교중기분교장,1991,청송,초,미활용,청송군 청송읍 중기리 610-2,34,0.8950819672131151,매우 높음
jeonnam,초도초광도분교장,1991,여수,초,미활용,여수 삼산면 손죽리 산54,34,0.8950819672131151,매우 높음
jeonnam,다도초덕림분교장,1991,나주,초,미활용,나주 다도면 덕림리 536,34,0.8950819672131151,매우 높음
chunbook,미원중 운암분교장,1991,청주,초,미활용,청주시 상당구 미원면 운암리 593,34,0.8950819672131151,매우 높음
gyeongnam,산수초등학교,1991,거창,초,미활용,거창군 신원면 덕산리 714-1,34,0.8950819672131151,매우 높음
gyeonggi,가납초 현암분교장,1991,동두천양주,초,미활용,양주시 광적면 비암리 231-4,34,0.8950819672131151,매우 높음
jeju,추자초횡간분교장,1991,해당없음,초,미활용,제주시 추자면 대서리 산68,34,0.8950819672131151,매우 높음
jeonnam,강진서초영파분교장,1991,강진,초,미활용,강진 강진읍 영파리 565,34,0.8950819672131151,매우 높음
gangwon,여량초 자개분교장,1991,정선,초,미활용,정선군 여량면 구절리 377-1,34,0.8950819672131151,매우 높음
gyeonggi,유양초 천성분교장,1991,동두천양주,초,미활용,양주시 유양동 유양동 725,34,0.8950819672131151,매우 높음
gyeongnam,신흥초등학교,1992,하동,초,미활용,하동군 북천면 사평리 491-2,33,0.8819672131147543,매우 높음
gyeongnam,유림초등학교화남분교장,1992,함양,초,미활용,함양군 유림면 손곡리 280,33,0.8819672131147543,매우 높음
gyeongnam,양보초등학교우복분교장,1992,하동,초,미활용,하동군 양보면 우복리 367-1,33,0.8819672131147543,매우 높음
gyeongbook,용성초등학교구룡분교장,1992,경산,초,미활용,경산시 용성면 매남리 158,33,0.8819672131147543,매우 높음
gyeongnam,용현초등학교,1992,거창,초,미활용,거창군 신원면 대현리 86-1,33,0.8819672131147543,매우 높음
jeonbook,선유도초 명도분교장,1992,군산,초,미활용,군산시 옥도면 말도리 73-3,33,0.8819672131147543,매우 높음
jeonbook,선유도초 방축분교장,1992,군산,초,미활용,군산시 옥도면 말도리 125-5,33,0.8819672131147543,매우 높음
chunbook,회남초 분저분교장,1992,보은,초,미활용,보은군 회남면 분저리 71,33,0.8819672131147543,매우 높음
jeonbook,위도초 거륜분교,1992,부안,초,미활용,부안군 위도면 거륜리 산2-1,33,0.8819672131147543,매우 높음
jeonbook,위도초 상왕분교,1992,부안,초,미활용,부안군 위도면 상왕등리 산143,33,0.8819672131147543,매우 높음
jeonbook,위도초 하왕분교,1992,부안,초,미활용,부안군 위도면 하왕등리 산71,33,0.8819672131147543,매우 높음
chunbook,문의초 구룡분교장,1992,청주,초,미활용,청주시 상당구 문의면 구룡리 338,33,0.8819672131147543,매우 높음
jeonnam,금정초한대분교장,1992,영암,초,미활용,영암 영암읍 한대리 2,33,0.8819672131147543,매우 높음
gyeongnam,진교초등학교고이분교장,1992,하동,초,미활용,하동군 진교면 고이리 457-1,33,0.8819672131147543,매우 높음
jeonnam,화태초소두라분교장,1992,여수,초,미활용,여수 남면 두라리 41,33,0.8819672131147543,매우 높음
jeonnam,토지초외곡분교장,1992,구례,초,미활용,구례 토지면 외곡리 543,33,0.8819672131147543,매우 높음
jeonnam,황전초평죽분교장,1992,순천,초,미활용,순천 황전면 평촌리 산193-1,33,0.8819672131147543,매우 높음
jeju,창천초상천분교장,1992,해당없음,초,미활용,서귀포시 안덕면 상천리 470-2,33,0.8819672131147543,매우 높음
jeonnam,소라중앙초등학교,1992,여수,초,미활용,여수 소라면 봉두리 662,33,0.8819672131147543,매우 높음
gangwon,벽탄초 마항분교장,1981,정선,초,대부,정선군 정선읍 회동리 819,44,0.8786885245901642,매우 높음
chunbook,(구)북암초,1981,보은,초,대부,보은군 속리산면 북암리 318,44,0.8786885245901642,매우 높음
gangwon,인제초 군량분교장,1993,인제,초,미활용,인제군 인제읍 귀둔리 984-1,32,0.8688524590163936,매우 높음
chunbook,어상천초연곡분교장,1993,단양,초,미활용,단양군 어상천면  연곡리 631,32,0.8688524590163936,매우 높음
ulsan,미호분교,1993,강남,초,미활용,울주군 두서면 미호리 610,32,0.8688524590163936,매우 높음
gyeongnam,삼덕초등학교,1993,고성,초,미활용,고성군 회화면 삼덕리 1397-3,32,0.8688524590163936,매우 높음
chunbook,남당초 삼선분교장,1993,제천,초,미활용,제천시 봉양읍 삼거리 538,32,0.8688524590163936,매우 높음
gangwon,남평초 문곡분교장,1993,정선,초,미활용,정선군 남면  문곡리 265-1 ,32,0.8688524590163936,매우 높음
gyeongbook,대보초등학교강사분교장,1993,포항,초,미활용,포항시 남구 호미곶면 강사리 491,32,0.8688524590163936,매우 높음
gyeongbook,석계초등학교,1993,영천,초,미활용,영천시 고경면 석계리 5-2,32,0.8688524590163936,매우 높음
gyeongbook,월곡초등학교동계분교장,1993,안동,초,미활용,안동시 예안면 태곡리 688,32,0.8688524590163936,매우 높음
gyeongbook,청남초등학교구매분교장,1993,영양,초,미활용,영양군 청기면 구매리 48,32,0.8688524590163936,매우 높음
gangwon,모곡초 동막분교장,1993,홍천,초,미활용,홍천군 서면 동막리 473-1,32,0.8688524590163936,매우 높음
gyeongnam,남상초등학교임불분교장,1994,거창,초,미활용,거창군 남상면 임불리 1107,31,0.8557377049180331,매우 높음
gangwon,화계초 화양분교장,1994,홍천,초,미활용,홍천군 북방면 굴지리 243-2,31,0.8557377049180331,매우 높음
gyeonggi,신산초 영장분교장,1994,파주,초,미활용,파주시 광탄면 영장리 256-1,31,0.8557377049180331,매우 높음
gangwon,쌍룡초 후탄분교장,1994,영월,초,미활용,영월군 한반도면 후탄리 911,31,0.8557377049180331,매우 높음
gyeonggi,마산초 어도분교장,1994,화성오산,초,미활용,화성시 송산면 고포리 826-1,31,0.8557377049180331,매우 높음
gyeonggi,청평초 회곡분교장,1994,가평,초,미활용,가평군 설악면 회곡리 528,31,0.8557377049180331,매우 높음
gangwon,연상초 화라분교장,1994,영월,초,미활용,영월군 산솔면 화원리 441-1,31,0.8557377049180331,매우 높음
jeonnam,노동초금호분교장,1994,보성,초,미활용,보성 노동면 금호리 598,31,0.8557377049180331,매우 높음
gyeongnam,금호초등학교,1994,산청,초,미활용,산청군 차황면 실매리 183,31,0.8557377049180331,매우 높음
gyeongnam,정동초등학교신월분교장,1994,사천,초,미활용,사천시 정동면 소곡리 423,31,0.8557377049180331,매우 높음
gyeongnam,도성초등학교,1994,합천,초,미활용,합천군 가회면 도탄리 1078,31,0.8557377049180331,매우 높음
jeonnam,화계초여주분교장,1994,고흥,초,미활용,고흥 점암면 여호리 244,31,0.8557377049180331,매우 높음
jeonnam,겸백초은덕분교장,1994,보성,초,미활용,보성 겸백면 은덕리 19,31,0.8557377049180331,매우 높음
gyeongnam,박달초등학교,1994,하동,초,미활용,하동군 양보면 박달리 548-3,31,0.8557377049180331,매우 높음
gyeongbook,운수초등학교화암분교장,1994,고령,초,미활용,고령군 운수면 화암리 1163,31,0.8557377049180331,매우 높음
jeonnam,동산초판교분교장,1994,순천,초,미활용,순천 서면 판교리 303,31,0.8557377049180331,매우 높음
gyeongnam,반성초등학교남산분교장,1994,진주,초,미활용,진주시 일반성면 남산리 452-2,31,0.8557377049180331,매우 높음
gangwon,계촌초 방의분교장,1994,평창,초,미활용,평창군 방림면 계촌리 2290,31,0.8557377049180331,매우 높음
jeonnam,아산초노치분교장,1994,화순,초,미활용,화순 백아면 노치리 272,31,0.8557377049180331,매우 높음
gyeongnam,농산초등학교,1983,거창,초,대부,거창군 고제면 궁항리 1181,42,0.8524590163934428,매우 높음
incheon,용유초을왕분교,1976,남부,초,자체활용,인천광역시 중구 을왕동 을왕동 762-1,49,0.8459016393442625,매우 높음
jeonnam,석곡초염곡분교장,1995,곡성,초,미활용,곡성 석곡면 염곡리 1033,30,0.8426229508196724,매우 높음
chunbook,관기초 적암분교장,1995,보은,초,미활용,보은군 마로면 적암리 149,30,0.8426229508196724,매우 높음
jeonnam,다시초국동분교장,1995,나주,초,미활용,나주 문평면 국동리 678,30,0.8426229508196724,매우 높음
jeonnam,사창초능성분교장,1995,장성,초,미활용,장성 삼계면 능성리 599-1,30,0.8426229508196724,매우 높음
jeonnam,만덕초용산분교장,1995,담양,초,미활용,담양 대덕면 갈전리 687,30,0.8426229508196724,매우 높음
gyeonggi,목동초 도대분교장,1995,가평,초,미활용,가평군 북면 도대리 139-4,30,0.8426229508196724,매우 높음
chunnam,임주초,1995,부여,초,미활용,부여군 임천면 구교리 521-1,30,0.8426229508196724,매우 높음
chunbook,백봉초 운곡분교장,1995,괴산증평,초,미활용,괴산군 청안면 운곡리 209-2,30,0.8426229508196724,매우 높음
gangwon,상창초 신흥분교장,1995,횡성,초,미활용,횡성군 공근면 어둔리 171-1,30,0.8426229508196724,매우 높음
gangwon,삼산초 소금강분교장,1995,강릉,초,미활용,강릉시 연곡면 삼산리 375,30,0.8426229508196724,매우 높음
gyeongbook,원림초등학교,1995,안동,초,미활용,안동시 남선면 원림리 358-3,30,0.8426229508196724,매우 높음
jeonnam,동면초옥호분교장,1995,화순,초,미활용,화순 동면 옥호리 338,30,0.8426229508196724,매우 높음
gangwon,문혜초 대곡분교장,1995,철원,초,미활용,철원군 갈말읍 문혜리 48-1,30,0.8426229508196724,매우 높음
chunbook,소수초 광신분교장,1995,괴산증평,초,미활용,괴산군 소수면 몽촌리 219,30,0.8426229508196724,매우 높음
chunbook,관기초 소여분교장,1995,보은,초,미활용,보은군 마로면 소여리 470-1,30,0.8426229508196724,매우 높음
daejeon,진잠초 방성분교장,1995,서부,초,미활용,유성구 성북동 188-1,30,0.8426229508196724,매우 높음
gangwon,강림초 월현분교장,1995,횡성,초,미활용,횡성군 강림면 월현리 1314,30,0.8426229508196724,매우 높음
jeju,용수초등학교,1995,해당없음,초,미활용,제주시 한경면 용수리 3533,30,0.8426229508196724,매우 높음
jeju,영락초등학교,1995,해당없음,초,미활용,서귀포시 대정읍 영락리 1278,30,0.8426229508196724,매우 높음
jeju,신산초난산분교장,1995,해당없음,초,미활용,서귀포시 성산읍 난산리 1109,30,0.8426229508196724,매우 높음
gangwon,문곡초 덕상분교장,1996,영월,초,미활용,영월군 북면 덕상리 275-2,29,0.8295081967213117,매우 높음
jeonnam,아산초송방분교장,1996,화순,초,미활용,화순 백아면 방리 385,29,0.8295081967213117,매우 높음
gangwon,신림초 성림분교장,1996,원주,초,미활용,원주시 신림면 성남리 527,29,0.8295081967213117,매우 높음
gyeongbook,이가초등학교,1996,포항,초,미활용,포항시 북구 청하면 이가리 138,29,0.8295081967213117,매우 높음
gyeongnam,명사초등학교여차분교장,1996,거제,초,미활용,거제시 남부면 다포리 39,29,0.8295081967213117,매우 높음
gangwon,사천초 사기막분교장,1996,강릉,초,미활용,강릉시 사천면 사기막리 534-2,29,0.8295081967213117,매우 높음
chunbook,노은초 수룡분교장,1996,충주,초,미활용,충주시 노은면 수룡리 554-1,29,0.8295081967213117,매우 높음
gyeongnam,장목초등학교황포분교장,1996,거제,초,미활용,거제시 장목면 구영리 735,29,0.8295081967213117,매우 높음
jeonnam,청풍초신석분교장,1996,화순,초,미활용,화순 청풍면 신석리 457,29,0.8295081967213117,매우 높음
chunbook,괴산명덕초 제월분교장,1996,괴산증평,초,미활용,괴산군 괴산읍 제월리 289,29,0.8295081967213117,매우 높음
gangwon,화동초 덕수분교장,1970,정선교육지원청,초,매각,정선군 화암면 석곡리 598,55,0.8262295081967216,매우 높음
gyeongbook,물야초등학교오전분교장,1997,봉화,초,미활용,봉화군 물야면 오전리 869-2 외 2필지,28,0.816393442622951,매우 높음
gangwon,삼포초 당무분교장,1997,홍천,초,미활용,홍천군 화촌면 군업리 1128,28,0.816393442622951,매우 높음
gangwon,수항초등학교,1997,평창,초,미활용,평창군 진부면 수항리 278-3,28,0.816393442622951,매우 높음
chunnam,양촌초 장원분교장,1997,논산계룡,초,미활용,논산시 양촌면 산직리 566-2,28,0.816393442622951,매우 높음
jeonnam,화순초수만분교장,1997,화순,초,미활용,화순 화순읍 수만리 75,28,0.816393442622951,매우 높음
gyeongbook,부상초등학교,1997,김천,초,미활용,김천시 남면 부상리 564,28,0.816393442622951,매우 높음
gyeongbook,신동초등학교연화분교장,1997,칠곡,초,미활용,칠곡군 지천면 연화리 513-4,28,0.816393442622951,매우 높음
gangwon,남산초 삼창분교장,1997,홍천,초,미활용,홍천군 홍천읍 삼마치리 174-1,28,0.816393442622951,매우 높음
jeonnam,동강초매곡분교장,1997,고흥,초,미활용,고흥 동강면 매곡리 413,28,0.816393442622951,매우 높음
daejeon,대동초,1997,서부,초,미활용,대덕구 대동 323,28,0.816393442622951,매우 높음
gangwon,벽탄초 비룡분교장,1997,정선,초,미활용,정선군 정선읍  용탄리 207 ,28,0.816393442622951,매우 높음
jeonnam,장암초등학교,1998,보성,초,미활용,보성 벌교읍 장암리 710-1,27,0.8032786885245903,매우 높음
gyeongnam,영오초등학교영동분교장,1998,고성,초,미활용,고성군 영오면 연당리 705,27,0.8032786885245903,매우 높음
jeju,신도초등학교,1998,해당없음,초,미활용,서귀포시 대정읍 신도리 1382-1,27,0.8032786885245903,매우 높음
gangwon,미로초 동산분교장,1998,삼척,초,미활용,삼척시 미로면 동산리 49-1,27,0.8032786885245903,매우 높음
gyeongnam,봉산초등학교오남분교장,1998,합천,초,미활용,합천군 봉산면 권빈리 639,27,0.8032786885245903,매우 높음
gyeongnam,대곡초등학교마진분교장,1998,진주,초,미활용,진주시 대곡면 마진리 195,27,0.8032786885245903,매우 높음
gyeongnam,하청초등학교덕곡분교장,1998,거제,초,미활용,거제시 하청면 덕곡리 579,27,0.8032786885245903,매우 높음
gyeongnam,산양초등학교오비분교장,1998,통영,초,미활용,통영시 산양읍 풍화리 1914-2,27,0.8032786885245903,매우 높음
gyeongnam,산양초등학교미남분교장,1998,통영,초,미활용,통영시 산양읍 미남리 401,27,0.8032786885245903,매우 높음
gyeongnam,한산초등학교좌도분교장,1998,통영,초,미활용,통영시 한산면 창좌리 174-1,27,0.8032786885245903,매우 높음
gyeongnam,회화초등학교동창분교장,1998,고성,초,미활용,고성군 회화면 어신리 937-1,27,0.8032786885245903,매우 높음
chunbook,청성초 화성분교장,1999,옥천,초,미활용,옥천군 청성면 화성리 295-1,26,0.7901639344262298,높음
incheon,마리산초교,1999,강화,초,미활용,인천광역시 강화군 화도면 덕포리 1212,26,0.7901639344262298,높음
gyeonggi,동두천초 걸산분교장,1999,동두천양주,초,미활용,동두천시 걸산동 50-8,26,0.7901639344262298,높음
gyeongnam,봉산초등학교옥계분교장,1999,합천,초,미활용,합천군 봉산면 노곡리 918-2,26,0.7901639344262298,높음
gangwon,연곡초 삼산분교장,1999,강릉,초,미활용,강릉시 연곡면 삼산리 739,26,0.7901639344262298,높음
gyeongnam,반동초등학교원전분교장,1999,창원,초,미활용,창원시 마산합포구 구산면 심리 181-3,26,0.7901639344262298,높음
gangwon,비봉초 군량분교장,1999,양구,초,미활용,양구군 양구읍 군량리 450,26,0.7901639344262298,높음
chunbook,동량초 서운분교장,1999,충주,초,미활용,충주시 동량면 서운리 155,26,0.7901639344262298,높음
chunbook,생극초 관성분교장,1999,음성,초,미활용,음성군 생극면 관성리 13-1,26,0.7901639344262298,높음
gyeongnam,반동초등학교욱곡분교장,1999,창원,초,미활용,창원시 마산합포구 구산면 내포리 964-1,26,0.7901639344262298,높음
chunbook,용산초,1999,영동,초,미활용,영동군 용산면 한곡리 206-2,26,0.7901639344262298,높음
chunbook,유덕초,1999,제천,초,미활용,제천시 덕산면 신현리606,26,0.7901639344262298,높음
gyeongnam,금진초등학교,1999,사천,초,미활용,사천시 서포면 금진리 438,26,0.7901639344262298,높음
chunnam,탄천초 가척분교장,1999,공주,초,미활용,공주시 탄천면 가척리 491,26,0.7901639344262298,높음
chunnam,광시초,1999,예산,초,미활용,예산군 광시면 신대리 197,26,0.7901639344262298,높음
chunnam,장신초,1999,예산,초,미활용,예산군 광시면 서초정리 490,26,0.7901639344262298,높음
chunnam,삼포초,1999,서산,초,미활용,서산시 고북면 봉생리 101-2,26,0.7901639344262298,높음
gyeongnam,동해초등학교대동분교장,1999,고성,초,미활용,고성군 동해면 용정리 440,26,0.7901639344262298,높음
gyeongnam,동부초등학교가배분교장,1999,거제,초,미활용,거제시 동부면 가배리 374,26,0.7901639344262298,높음
gyeongnam,거류초등학교대장분교장,1999,고성,초,미활용,고성군 동해면 장좌리 756-2,26,0.7901639344262298,높음
ulsan,삼광분교,1999,강남,초,미활용,울주군 온양읍 삼광리 657-1,26,0.7901639344262298,높음
gyeongnam,대암초등학교,1999,진주,초,미활용,진주시 집현면 대암리 417,26,0.7901639344262298,높음
gyeongnam,남명초등학교평산분교장,1999,남해,초,미활용,남해군 남면 평산리 1446,26,0.7901639344262298,높음
chunnam,고남초 영항분교장,1999,태안,초,미활용,태안군 고남면 고남리 96-4,26,0.7901639344262298,높음
gyeongnam,미조초등학교호도분교장,1999,남해,초,미활용,남해군 미조면 미조리 1160,26,0.7901639344262298,높음
jeonnam,금성초등학교,1999,여수,초,미활용,여수 돌산읍 금성리 475,26,0.7901639344262298,높음
gyeongnam,삼성초등학교가천분교장,1999,사천,초,미활용,사천시 사남면 가천리 84,26,0.7901639344262298,높음
gyeongnam,초전초등학교,1999,사천,초,미활용,사천시 사남면 초전리 551-1,26,0.7901639344262298,높음
jeonnam,군서북초등학교,1999,영암,초,미활용,영암 군서면 해창리 494-2,26,0.7901639344262298,높음
jeonnam,금정초청룡분교장,1999,영암,초,미활용,영암 금정면 청용리 899,26,0.7901639344262298,높음
jeonnam,고서초주산분교장,1999,담양,초,미활용,담양 고서면 주산리 516,26,0.7901639344262298,높음
gyeongbook,풍동초등학교,1999,안동,초,미활용,안동시 풍산읍 회곡리 696,26,0.7901639344262298,높음
jeonnam,노동초학동분교장,1999,보성,초,미활용,보성 노동면 학동리 501,26,0.7901639344262298,높음
jeonnam,다시남초등학교,1999,나주,초,미활용,나주 다시면 문동리 654,26,0.7901639344262298,높음
jeonnam,동복초가수분교장,1999,화순,초,미활용,화순 동복면 가수리 861,26,0.7901639344262298,높음
gyeongbook,명주초등학교,1999,영천,초,미활용,영천시 북안면 명주리 307-1,26,0.7901639344262298,높음
gyeongbook,구천초등학교용호분교장,1999,의성,초,미활용,의성군 구천면 용사리 361-1,26,0.7901639344262298,높음
gyeongbook,고양초등학교,1999,봉화,초,미활용,봉화군 명호면 양곡리 329-1 외 1필지,26,0.7901639344262298,높음
gangwon,다수초등학교,1999,평창,초,미활용,평창군 평창읍  다수리 304 ,26,0.7901639344262298,높음
gyeongnam,삼오초등학교,1999,고성,초,미활용,고성군 삼산면 장치리 328,26,0.7901639344262298,높음
gyeongnam,팔령초등학교,1999,함양,초,미활용,함양군 함양읍 구룡리 730-2,26,0.7901639344262298,높음
jeonnam,일로초지감분교장,1999,무안,초,미활용,무안 일로읍 감돈리 299,26,0.7901639344262298,높음
gyeongnam,서포초등학교자혜분교장,1999,사천,초,미활용,사천시 서포면 자혜리 519,26,0.7901639344262298,높음
gyeongnam,중리초등학교안평분교장,1999,창원,초,미활용,창원시 마산회원구 내서읍 평성리 23-2,26,0.7901639344262298,높음
gyeongnam,주상초등학교보해분교장,1999,거창,초,미활용,거창군 주상면 남산리 245,26,0.7901639344262298,높음
gyeongnam,입석초등학교,1999,산청,초,미활용,산청군 단성면 입석리 1154-2,26,0.7901639344262298,높음
gyeongnam,율곡초등학교,1999,합천,초,미활용,합천군 율곡면 와리 384,26,0.7901639344262298,높음
gyeongnam,월령초등학교,1999,창녕,초,미활용,창녕군 영산면 월령리 995-1,26,0.7901639344262298,높음
gyeongnam,운암초등학교,1999,하동,초,미활용,하동군 양보면 운암리 251,26,0.7901639344262298,높음
gyeongnam,양포초등학교,1999,하동,초,미활용,하동군 진교면 양포리 111-1,26,0.7901639344262298,높음
gyeongnam,상동초등학교,1999,고성,초,미활용,고성군 상리면 망림리 528-4,26,0.7901639344262298,높음
gyeongnam,성남초등학교,1999,남해,초,미활용,남해군 이동면 화계리 302,26,0.7901639344262298,높음
gyeongnam,진전초등학교낙동분교장,1999,창원,초,미활용,창원시 마산합포구 진전면 시락리 218,26,0.7901639344262298,높음
gangwon,반계초 대둔분교장,1999,원주,초,미활용,원주시 문막읍 대둔리 31,26,0.7901639344262298,높음
gyeongnam,서촌초등학교,1999,함안,초,미활용,함안군 대산면 서촌리 231,26,0.7901639344262298,높음
jeonnam,조도초 맹골분교장,2000,진도,초,미활용,진도 조도면 맹골도리 74-1,25,0.7770491803278691,높음
chunbook,미원초 용곡분교장,2000,청주,초,미활용,청주시 상당구 미원면 용곡리 287-1,25,0.7770491803278691,높음
chunbook,감곡초 상평분교장,2000,음성,초,미활용,음성군 감곡면 상평리 374-1,25,0.7770491803278691,높음
incheon,삼산초 서검분교,2000,강화,초,미활용,인천광역시 강화군 삼산면 서검도리 산52-1,25,0.7770491803278691,높음
gyeongbook,일직초등학교평촌분교장,2000,안동,초,미활용,안동시 일직면 명진리 313,25,0.7770491803278691,높음
gyeonggi,청운초 갈운분교장,2000,양평,초,미활용,양평군 청운면 갈운리 472,25,0.7770491803278691,높음
gyeonggi,가양초 비금분교장,1989,구리남양주,초,대부,남양주시 수동면 내방리 325-3,36,0.773770491803279,높음
gyeonggi,운암초,1982,포천,초,자체활용,포천시 영북면 운천리 334-3,43,0.7672131147540985,높음
jeju,하천초등학교,2001,해당없음,초,미활용,서귀포시 표선면 하천리 357-1,24,0.7639344262295084,높음
gyeonggi,양동초 삼산분교장,2001,양평,초,미활용,양평군 양동면 삼산리 632-11,24,0.7639344262295084,높음
incheon,길상초 선택분교,2001,강화,초,미활용,인천광역시 강화군 길상면 선두리 962-3,24,0.7639344262295084,높음
gyeongbook,신녕서부초등학교,2001,영천,초,미활용,영천시 신녕면 부산리 946-1,24,0.7639344262295084,높음
jeonnam,율촌초송도분교장,2001,여수,초,미활용,여수 율촌면 여동리 185,24,0.7639344262295084,높음
jeju,가시초등학교,2001,해당없음,초,미활용,서귀포시 표선면 가시리 1924,24,0.7639344262295084,높음
gangwon,임계초 성남분교장,1990,정선,초,대부,정선군 임계면 임계리 1300,35,0.7606557377049182,높음
